date,value
20150513,55
20150514,57
20150515,57
20150516,62
20150518,62
20150519,62
20150520,64
20150521,64
20150522,60
20150523,59
20150526,50
20150527,47
20150528,47
20150529,43
20150530,44
20150601,40
20150602,43
20150603,45
20150604,44
20150605,40
20150606,38
20150608,36
20150609,36
20150610,37
20150611,41
20150612,30
20150613,36
20150615,26
20150616,27
20150617,26
20150618,34
20150619,30
20150620,33
20150622,42
20150623,49
20150624,36
20150625,34
20150626,33
20150627,27
20150629,8
20150630,11
20150701,18
20150702,16
20150704,15
20150706,13
20150707,13
20150708,9
20150709,12
20150710,14
20150711,19
20150713,24
20150714,24
20150715,30
20150716,30
20150717,34
20150718,34
20150720,34
20150721,25
20150722,20
20150723,15
20150724,15
20150725,11
20150727,7
20150728,17
20150729,21
20150730,21
20150731,20
20150801,21
20150803,24
20150804,28
20150805,21
20150806,18
20150807,10
20150808,12
20150810,9
20150811,12
20150812,9
20150813,11
20150814,11
20150815,12
20150817,14
20150818,13
20150819,13
20150820,8
20150821,8
20150822,4
20150824,3
20150825,9
20150826,12
20150827,13
20150828,14
20150829,14
20150831,14
20150901,9
20150902,13
20150903,11
20150904,10
20150905,11
20150908,13
20150909,13
20150910,15
20150911,14
20150912,14
20150914,13
20150915,16
20150916,16
20150917,16
20150918,18
20150919,23
20150921,23
20150922,31
20150923,31
20150924,22
20150925,18
20150926,18
20150928,15
20150929,13
20150930,21
20151001,18
20151002,24
20151003,24
20151005,31
20151006,36
20151007,37
20151008,42
20151009,43
20151010,43
20151012,41
20151013,35
20151014,35
20151015,41
20151016,45
20151017,45
20151019,47
20151020,51
20151021,50
20151022,55
20151023,59
20151024,59
20151026,61
20151027,69
20151028,69
20151029,71
20151030,70
20151031,71
20151102,73
20151103,73
20151104,72
20151105,73
20151106,71
20151107,71
20151109,66
20151110,66
20151111,63
20151112,59
20151113,50
20151114,50
20151116,48
20151117,51
20151118,51
20151119,52
20151120,53
20151121,53
20151123,53
20151124,56
20151125,59
20151127,58
20151128,58
20151130,58
20151201,55
20151202,55
20151203,55
20151204,55
20151205,53
20151207,38
20151208,42
20151209,35
20151210,36
20151211,25
20151212,29
20151214,30
20151215,35
20151216,46
20151217,37
20151218,37
20151219,32
20151221,35
20151222,36
20151223,43
20151224,42
20151226,44
20151228,48
20151229,48
20151230,46
20151231,46
20160102,45
20160104,43
20160105,35
20160106,35
20160107,27
