date, value
20140918,16.3595
20140919,16.4408
20140922,16.3325
20140923,16.1858
20140924,16.3384
20140925,16.2086
20140926,16.3297
20140929,16.2875
20140930,16.3212
20141001,16.1847
20141002,16.0033
20141003,16.2558
20141006,16.2251
20141007,15.9707
20141008,16.0164
20141009,15.7881
20141010,15.6438
20141013,15.4517
20141014,15.4402
20141015,15.1818
20141016,15.1323
20141017,15.347
20141020,15.4499
20141021,15.7512
20141022,15.7923
20141023,15.939
20141024,15.9895
20141028,16.0495
20141029,16.0495
20141030,16.2551
20141031,16.5577
20141103,16.5289
20141104,16.4064
20141105,16.5985
20141106,16.6822
20141107,16.7104
20141110,16.7463
20141111,16.7908
20141112,16.7082
20141113,16.7253
20141114,16.7286
20141117,16.7385
20141118,16.7685
20141119,16.723
20141120,16.7315
20141121,17.0197
20141124,17.0154
20141125,16.9761
20141126,16.9697
20141127,17.0017
20141128,16.9716
20141201,16.8643
20141202,17.0251
20141203,17.1754
20141204,16.9862
20141205,17.1982
20141208,17.0875
20141209,16.862
20141210,16.6415
20141211,16.6952
20141212,16.3543
20141215,16.2069
20141216,16.104
20141217,16.4199
20141218,16.9102
20141219,17.0385
20141222,17.1097
20141223,17.232
20141224,17.235
20141229,17.306
20141230,17.2222
20141231,17.1987
20150102,17.2488
20150105,17.0422
20150106,16.8949
20150107,17.1435
20150108,17.4896
20150109,17.3207
20150112,17.2717
20150113,17.341
20150114,17.1999
20150115,17.4666
20150116,17.7381
20150119,17.6042
20150120,17.7296
20150121,17.8049
20150122,18.2431
20150123,18.4841
20150126,18.5248
20150127,18.216
20150128,18.1366
20150129,18.1926
20150130,18.1029
20150202,18.189
20150203,18.2444
20150204,18.2834
20150205,18.408
20150206,18.4749
20150209,18.4216
20150210,18.5654
20150211,18.5547
20150212,18.6586
20150213,18.7275
20150216,18.7322
20150217,18.7639
20150218,18.872
20150219,18.8466
20150220,18.962
20150223,19.0099
20150224,19.0896
20150225,19.0785
20150226,19.2941
20150227,19.2768
20150302,19.3545
20150303,19.288
20150304,19.4083
20150305,19.5126
20150306,19.571
20150309,19.5976
20150310,19.5177
20150311,19.7437
20150312,19.8768
20150313,19.9535
20150316,20.081
20150318,20.1201
20150319,20.1283
20150320,20.0749
20150323,19.8717
20150324,19.8464
20150325,19.5237
20150326,19.5194
20150327,19.5828
20150330,19.8332
20150331,19.8121
20150401,19.7495
20150402,19.6525
20150407,19.8612
20150408,20.0164
20150409,20.2922
20150410,20.479
20150413,20.4983
20150414,20.3535
20150415,20.5649
20150416,20.4246
20150417,20.0839
20150420,20.2394
20150421,20.2977
20150422,20.3862
20150423,20.3074
20150424,20.275
20150427,20.2613
20150428,20.1022
20150429,19.7182
20150430,19.434
20150501,19.5028
20150505,19.4161
20150506,19.1296
20150507,19.2538
20150508,19.6085
20150511,19.6711
20150512,19.4616
20150513,19.3378
20150514,19.4427
20150515,19.3815
20150518,19.5336
20150519,19.8954
20150520,19.9445
20150521,19.9897
20150522,20.0875
20150525,20.0909
20150526,20.068
20150527,20.2507
20150528,20.149
20150529,19.9314
20150602,19.6719
20150603,19.5165
20150604,19.332
20150605,19.4662
20150608,19.2131
20150609,19.1391
20150610,19.3148
20150611,19.4658
20150612,19.3062
20150615,19.1897
20150616,19.2944
20150617,19.2789
20150618,19.1939
20150619,19.2567
20150622,19.3724
20150623,19.7404
20150624,19.6257
20150625,19.5668
20150626,19.6039
20150629,19.1606
20150630,19.1535
20150701,19.3527
20150702,19.3498
20150703,19.3264
20150706,19.2054
20150707,19.3984
20150708,18.9732
20150709,19.1248
20150710,19.1913
20150713,19.6464
20150714,19.785
20150715,19.8499
20150716,20.1023
20150717,20.1822
20150720,20.179
20150721,20.0014
20150722,19.9523
20150723,19.7525
20150724,19.5815
20150727,19.2093
20150728,19.4703
20150729,19.6336
20150730,19.8174
20150731,19.6599
20150804,19.7429
20150805,19.9608
20150806,19.7642
20150807,19.6595
20150810,19.802
20150811,19.4942
20150812,19.1698
20150813,19.2749
20150814,19.3309
20150817,19.4538
20150818,19.4732
20150819,19.2337
20150820,18.673
20150821,17.98
20150824,16.9181
20150825,17.1037
20150826,17.4665
20150827,18.136
20150828,18.2092
20150831,18.0972
20150901,17.5228
20150902,17.7322
20150903,18.0259
20150904,17.6937
20150907,17.6571
20150908,17.9297
20150909,17.9728
20150910,17.8564
20150911,17.7743
20150914,17.692
20150915,17.8709
20150916,18.0529
20150917,18.0085
20150918,17.6737
20150921,17.9411
20150922,17.7278
20150923,17.6643
20150924,17.3388
20150925,17.5976
20150928,17.1749
20150929,17.0527
20150930,17.4881
20151001,17.4911
20151002,17.591
20151005,18.0259
20151006,17.9815
20151007,18.1626
20151008,18.2089
20151009,18.1971
20151012,18.1743
20151013,18.0293
20151014,17.8444
20151015,18.1695
20151016,18.269
20151019,18.3369
20151020,18.2587
20151021,18.1897
20151022,18.6905
20151023,19.1
20151027,18.9545
20151028,19.1276
20151029,19.2279
20151030,19.0694
20151102,19.1946
